idx,true,length,bow,llm_only,singh,webrag
75,Normal,Fraud,Normal,Fraud,Normal,Normal
76,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
77,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
78,Normal,Fraud,Normal,Fraud,Normal,Normal
79,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
80,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
81,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
82,Normal,Fraud,Normal,Normal,Normal,Normal
83,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
84,Normal,Fraud,Normal,Normal,Normal,Normal
85,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
86,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
87,Normal,Fraud,Normal,Fraud,Fraud,Fraud
88,Normal,Fraud,Normal,Normal,Normal,Normal
89,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
90,Normal,Fraud,Normal,Fraud,Normal,Normal
91,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
92,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
93,Normal,Fraud,Normal,Normal,Normal,Normal
94,Normal,Fraud,Normal,Normal,Normal,Normal
95,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
96,Normal,Fraud,Normal,Normal,Fraud,Normal
97,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
98,Normal,Fraud,Normal,Normal,Normal,Normal
99,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
100,Normal,Fraud,Normal,Normal,Normal,Normal
101,Normal,Fraud,Normal,Normal,Fraud,Fraud
102,Normal,Fraud,Normal,Normal,Normal,Normal
103,Normal,Fraud,Normal,Normal,Normal,Normal
104,Normal,Fraud,Normal,Normal,Normal,Normal
105,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
106,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
107,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
108,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
109,Normal,Fraud,Normal,Fraud,Normal,Normal
110,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
111,Normal,Fraud,Normal,Normal,Normal,Normal
112,Normal,Fraud,Normal,Fraud,Normal,Fraud
113,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
114,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
115,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
116,Normal,Fraud,Normal,Fraud,Normal,Normal
117,Normal,Fraud,Normal,Normal,Normal,Fraud
118,Normal,Fraud,Normal,Normal,Normal,Normal
119,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
120,Normal,Fraud,Normal,Fraud,Fraud,Fraud
121,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
122,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
123,Normal,Fraud,Normal,Fraud,Normal,Normal
124,Normal,Fraud,Normal,Fraud,Normal,Normal
125,Fraud,Fraud,Fraud,Fraud,Normal,Normal
126,Normal,Fraud,Normal,Normal,Normal,Normal
127,Normal,Fraud,Normal,Normal,Normal,Normal
128,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
129,Normal,Fraud,Normal,Normal,Normal,Normal
130,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
131,Normal,Fraud,Normal,Normal,Normal,Normal
132,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
133,Normal,Fraud,Normal,Fraud,Fraud,Normal
134,Normal,Fraud,Normal,Fraud,Normal,Normal
135,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
136,Normal,Fraud,Normal,Normal,Normal,Normal
137,Normal,Fraud,Normal,Normal,Normal,Normal
138,Normal,Fraud,Normal,Normal,Normal,Normal
139,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
140,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
141,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
142,Normal,Fraud,Normal,Normal,Normal,Normal
143,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
144,Normal,Fraud,Normal,Normal,Normal,Normal
145,Normal,Fraud,Normal,Normal,Normal,Normal
146,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
147,Normal,Fraud,Normal,Normal,Normal,Normal
148,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
149,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
150,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
151,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
152,Normal,Fraud,Normal,Normal,Fraud,Normal
153,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
154,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
155,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
156,Normal,Fraud,Normal,Normal,Normal,Normal
157,Normal,Fraud,Normal,Normal,Normal,Normal
158,Normal,Fraud,Normal,Normal,Normal,Normal
159,Normal,Fraud,Normal,Fraud,Normal,Normal
160,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
161,Normal,Fraud,Normal,Normal,Normal,Normal
162,Normal,Fraud,Normal,Normal,Normal,Normal
163,Normal,Fraud,Normal,Normal,Normal,Normal
164,Normal,Fraud,Normal,Normal,Normal,Normal
165,Normal,Fraud,Normal,Normal,Fraud,Normal
166,Normal,Fraud,Normal,Normal,Normal,Normal
167,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
168,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
169,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
170,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
171,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
172,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
173,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
174,Normal,Fraud,Normal,Normal,Normal,Normal
175,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
176,Normal,Fraud,Normal,Fraud,Normal,Normal
177,Normal,Fraud,Normal,Normal,Normal,Normal
178,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
179,Fraud,Fraud,Fraud,Fraud,Normal,Normal
180,Normal,Fraud,Normal,Fraud,Normal,Normal
181,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
182,Normal,Fraud,Normal,Normal,Normal,Normal
183,Normal,Fraud,Normal,Normal,Fraud,Normal
184,Normal,Fraud,Normal,Normal,Normal,Normal
185,Normal,Fraud,Normal,Normal,Normal,Normal
186,Normal,Fraud,Normal,Normal,Normal,Normal
187,Normal,Fraud,Normal,Normal,Normal,Normal
188,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
189,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
190,Normal,Fraud,Normal,Fraud,Normal,Normal
191,Normal,Fraud,Normal,Normal,Normal,Normal
192,Normal,Fraud,Normal,Normal,Normal,Normal
193,Normal,Fraud,Normal,Normal,Normal,Normal
194,Normal,Fraud,Normal,Normal,Fraud,Normal
195,Normal,Fraud,Normal,Normal,Normal,Normal
196,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
197,Normal,Fraud,Normal,Normal,Normal,Normal
198,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
199,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
200,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
201,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
202,Normal,Fraud,Normal,Normal,Normal,Normal
203,Normal,Fraud,Normal,Fraud,Normal,Fraud
204,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
205,Normal,Fraud,Normal,Normal,Normal,Normal
206,Normal,Fraud,Normal,Normal,Normal,Normal
207,Normal,Fraud,Normal,Normal,Normal,Fraud
208,Normal,Fraud,Normal,Fraud,Normal,Normal
209,Normal,Fraud,Normal,Fraud,Normal,Fraud
210,Normal,Fraud,Normal,Fraud,Normal,Normal
211,Fraud,Normal,Fraud,Fraud,Normal,Fraud
212,Normal,Fraud,Normal,Fraud,Fraud,Normal
213,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
214,Normal,Fraud,Normal,Normal,Normal,Normal
215,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
216,Normal,Fraud,Normal,Fraud,Normal,Normal
217,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
218,Normal,Fraud,Normal,Normal,Normal,Normal
219,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
220,Normal,Fraud,Normal,Normal,Normal,Normal
221,Normal,Fraud,Normal,Normal,Normal,Normal
222,Normal,Fraud,Normal,Normal,Normal,Normal
223,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
224,Normal,Fraud,Normal,Normal,Normal,Normal
225,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
226,Normal,Fraud,Normal,Normal,Fraud,Normal
227,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
228,Normal,Fraud,Normal,Normal,Normal,Normal
229,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
230,Normal,Fraud,Normal,Fraud,Normal,Fraud
231,Normal,Fraud,Normal,Normal,Normal,Normal
232,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
233,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
234,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
235,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
236,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
237,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
238,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
239,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
240,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
241,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
242,Normal,Fraud,Normal,Normal,Normal,Normal
243,Normal,Fraud,Normal,Normal,Normal,Normal
244,Normal,Fraud,Normal,Fraud,Normal,Normal
245,Normal,Fraud,Normal,Normal,Normal,Normal
246,Normal,Fraud,Normal,Fraud,Normal,Normal
247,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
248,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
249,Normal,Fraud,Normal,Normal,Normal,Normal
250,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
251,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
252,Fraud,Fraud,Fraud,Normal,Normal,Normal
253,Normal,Fraud,Normal,Normal,Normal,Normal
254,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
255,Normal,Fraud,Normal,Fraud,Fraud,Fraud
256,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
257,Normal,Fraud,Normal,Normal,Normal,Normal
258,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
259,Normal,Fraud,Normal,Normal,Fraud,Normal
260,Normal,Fraud,Normal,Normal,Fraud,Normal
261,Normal,Fraud,Normal,Fraud,Normal,Normal
262,Normal,Fraud,Normal,Normal,Fraud,Normal
263,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
264,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
265,Normal,Fraud,Normal,Normal,Normal,Normal
266,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
267,Normal,Fraud,Normal,Normal,Fraud,Fraud
268,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
269,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
270,Normal,Fraud,Normal,Normal,Normal,Normal
271,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
272,Normal,Fraud,Normal,Normal,Fraud,Normal
273,Normal,Fraud,Normal,Normal,Normal,Normal
274,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
275,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
276,Normal,Fraud,Normal,Normal,Normal,Normal
277,Normal,Fraud,Normal,Fraud,Normal,Normal
278,Normal,Fraud,Normal,Fraud,Normal,Normal
279,Normal,Fraud,Normal,Normal,Normal,Normal
280,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
281,Normal,Fraud,Normal,Normal,Normal,Normal
282,Normal,Fraud,Normal,Normal,Normal,Normal
283,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
284,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
285,Normal,Fraud,Normal,Normal,Normal,Normal
286,Normal,Fraud,Normal,Normal,Normal,Normal
287,Normal,Fraud,Normal,Normal,Normal,Normal
288,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
289,Normal,Fraud,Normal,Normal,Normal,Normal
290,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
291,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
292,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
293,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
294,Normal,Fraud,Normal,Normal,Normal,Normal
295,Normal,Fraud,Normal,Normal,Normal,Normal
296,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
297,Normal,Fraud,Normal,Normal,Normal,Normal
298,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
299,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
300,Normal,Fraud,Normal,Normal,Normal,Normal
301,Normal,Fraud,Normal,Fraud,Normal,Fraud
302,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
303,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
304,Normal,Fraud,Normal,Fraud,Normal,Normal
305,Normal,Fraud,Normal,Normal,Normal,Normal
306,Normal,Fraud,Normal,Normal,Normal,Normal
307,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
308,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
309,Normal,Fraud,Normal,Normal,Normal,Normal
310,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
311,Normal,Fraud,Normal,Normal,Normal,Normal
312,Normal,Fraud,Normal,Normal,Normal,Normal
313,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
314,Normal,Fraud,Normal,Fraud,Normal,Normal
315,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
316,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
317,Normal,Fraud,Normal,Fraud,Normal,Normal
318,Normal,Fraud,Normal,Fraud,Normal,Normal
319,Normal,Fraud,Normal,Normal,Normal,Normal
320,Normal,Fraud,Normal,Normal,Normal,Normal
321,Normal,Fraud,Normal,Normal,Normal,Normal
322,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
323,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
324,Normal,Fraud,Normal,Fraud,Fraud,Normal
325,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
326,Normal,Fraud,Normal,Normal,Normal,Normal
327,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
328,Normal,Fraud,Normal,Normal,Normal,Normal
329,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
330,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
331,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
332,Normal,Fraud,Normal,Normal,Normal,Normal
333,Normal,Fraud,Normal,Normal,Normal,Normal
334,Normal,Fraud,Normal,Normal,Normal,Normal
335,Normal,Fraud,Normal,Normal,Normal,Normal
336,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
337,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
338,Fraud,Normal,Fraud,Fraud,Normal,Fraud
339,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
340,Normal,Fraud,Normal,Normal,Normal,Normal
341,Normal,Fraud,Normal,Fraud,Normal,Normal
342,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
343,Normal,Fraud,Normal,Fraud,Fraud,Fraud
344,Normal,Fraud,Normal,Normal,Normal,Normal
345,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
346,Normal,Fraud,Normal,Fraud,Normal,Normal
347,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
348,Normal,Fraud,Normal,Fraud,Normal,Normal
349,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
350,Normal,Fraud,Normal,Normal,Normal,Normal
351,Normal,Fraud,Normal,Normal,Normal,Normal
352,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
353,Normal,Fraud,Normal,Fraud,Normal,Normal
354,Normal,Fraud,Normal,Normal,Fraud,Normal
355,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
356,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
357,Normal,Fraud,Normal,Normal,Normal,Normal
358,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
359,Normal,Fraud,Normal,Normal,Normal,Normal
360,Normal,Fraud,Normal,Fraud,Normal,Normal
361,Normal,Fraud,Normal,Normal,Normal,Normal
362,Normal,Fraud,Normal,Fraud,Normal,Normal
363,Normal,Fraud,Normal,Fraud,Normal,Normal
364,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
365,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
366,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
367,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
368,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
369,Normal,Fraud,Normal,Normal,Normal,Normal
370,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
371,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
372,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
373,Normal,Fraud,Normal,Normal,Fraud,Normal
374,Normal,Fraud,Normal,Normal,Normal,Normal
375,Normal,Fraud,Normal,Normal,Normal,Normal
376,Normal,Fraud,Normal,Normal,Normal,Normal
377,Normal,Fraud,Normal,Normal,Normal,Normal
378,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
379,Normal,Fraud,Normal,Fraud,Normal,Normal
380,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
381,Normal,Fraud,Normal,Normal,Normal,Normal
382,Normal,Fraud,Normal,Normal,Normal,Normal
383,Normal,Fraud,Normal,Normal,Normal,Normal
384,Normal,Fraud,Normal,Normal,Normal,Normal
385,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
386,Normal,Fraud,Normal,Normal,Fraud,Normal
387,Normal,Fraud,Normal,Normal,Fraud,Normal
388,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
389,Normal,Fraud,Normal,Normal,Fraud,Normal
390,Normal,Fraud,Normal,Normal,Normal,Normal
391,Normal,Fraud,Normal,Normal,Normal,Normal
392,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
393,Normal,Fraud,Normal,Normal,Normal,Normal
394,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
395,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
396,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
397,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
398,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
399,Normal,Fraud,Normal,Normal,Normal,Normal
400,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
401,Normal,Fraud,Normal,Normal,Normal,Normal
402,Normal,Fraud,Normal,Fraud,Normal,Normal
403,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
404,Normal,Fraud,Normal,Normal,Normal,Normal
405,Normal,Fraud,Normal,Normal,Normal,Normal
406,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
407,Normal,Fraud,Normal,Fraud,Normal,Normal
408,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
409,Normal,Fraud,Normal,Normal,Normal,Normal
410,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
411,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
412,Normal,Fraud,Normal,Normal,Fraud,Normal
413,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
414,Normal,Fraud,Normal,Normal,Normal,Normal
415,Fraud,Fraud,Fraud,Fraud,Fraud,Normal
416,Normal,Fraud,Normal,Normal,Normal,Normal
417,Normal,Fraud,Normal,Fraud,Fraud,Normal
418,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
419,Normal,Fraud,Normal,Normal,Normal,Normal
420,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
421,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
422,Fraud,Fraud,Fraud,Fraud,Fraud,Normal
423,Normal,Fraud,Normal,Normal,Normal,Normal
424,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
425,Normal,Fraud,Normal,Normal,Fraud,Normal
426,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
427,Normal,Fraud,Normal,Normal,Normal,Normal
428,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
429,Normal,Fraud,Normal,Normal,Normal,Normal
430,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
431,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
432,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
433,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
434,Normal,Fraud,Normal,Normal,Normal,Normal
435,Normal,Fraud,Normal,Fraud,Normal,Normal
436,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
437,Normal,Fraud,Normal,Normal,Normal,Normal
438,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
439,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
440,Normal,Fraud,Normal,Fraud,Normal,Normal
441,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
442,Normal,Fraud,Normal,Normal,Normal,Normal
443,Normal,Fraud,Normal,Normal,Fraud,Normal
444,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
445,Normal,Fraud,Normal,Normal,Normal,Normal
446,Normal,Fraud,Normal,Normal,Normal,Normal
447,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
448,Normal,Fraud,Normal,Normal,Normal,Normal
449,Normal,Fraud,Normal,Normal,Normal,Normal
450,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
451,Normal,Fraud,Normal,Normal,Normal,Normal
452,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
453,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
454,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
455,Normal,Fraud,Normal,Normal,Normal,Normal
456,Normal,Fraud,Normal,Normal,Normal,Normal
457,Normal,Fraud,Normal,Normal,Normal,Normal
458,Normal,Fraud,Normal,Normal,Normal,Normal
459,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
460,Normal,Fraud,Normal,Normal,Fraud,Normal
461,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
462,Normal,Fraud,Normal,Normal,Normal,Normal
463,Normal,Fraud,Normal,Normal,Normal,Normal
464,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
465,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
466,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
467,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
468,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
469,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
470,Normal,Fraud,Normal,Normal,Fraud,Normal
471,Fraud,Fraud,Fraud,Normal,Normal,Fraud
